spider,tub,container,noise_location,Week,Box,Area,pic_mean,black_mean,white_mean,StdDev,Min,Max
AP229,2,8,city,2,picture,16.545,64.708,57.35,237.94,19.997,4,186
AP229,2,8,city,3,picture,15.583,62.825,34.597,226.778,16.707,6,154
AP229,2,8,city,4,picture,17.066,41.823,30.15,217.72,12.889,0,133
AP229,2,8,city,5,picture,22.454,69.568,34.766,235.45,19.435,9,148
AP229,2,8,city,6,picture,24.377,60.171,70.782,228.319,19.46,7,161
AP123,2,9,city,1,picture,11.258,39.618,28.213,219.782,20.038,0,194
AP123,2,9,city,2,picture,15.49,39.542,24.273,208.128,18.088,0,194
AP123,2,9,city,3,picture,10.308,36.377,23.477,204.412,12.816,0,143
AP123,2,9,city,4,picture,12.284,35.568,22.227,204.038,14.339,0,125
AP123,2,9,city,5,picture,15.086,41.241,25.14,215.491,14.968,0,169
AP276,3,1,rural,1,picture,12.421,56.493,19.109,188.505,18.168,2,232
AP276,3,1,rural,2,picture,22.179,64.726,70.98,212.787,21.77,0,218
AP276,3,1,rural,3,picture,21.868,53.904,52.551,199.667,15.244,4,179
AP276,3,1,rural,4,picture,17.511,57.202,83.706,209.296,14.359,3,130
AP276,3,1,rural,5,picture,26.685,80.343,60.622,202.033,18.432,5,149
AP276,3,1,rural,6,picture,25.254,110.549,99.439,221.604,20.266,17,204
AP242,3,3,rural,1,picture,19.698,77.443,33.068,238.878,17.822,13,193
AP242,3,3,rural,2,picture,18.679,58.908,23.408,224.569,16.654,7,158
AP242,3,3,rural,3,picture,18.151,54.305,20.905,213.641,15.052,6,155
AP242,3,3,rural,4,picture,16.234,60.151,53.385,223.61,14.764,8,125
AP242,3,3,rural,5,picture,17.7,65.863,26.348,224.312,16.61,16,143
AP242,3,3,rural,6,picture,21.358,61.43,21.983,212.945,16.31,8,128
AP069,3,4,city,1,picture,15.908,62.828,28.604,225.855,19.962,10,222
AP069,3,4,city,2,picture,16.204,52.185,21.967,210.449,13.402,6,184
AP069,3,4,city,3,picture,23.761,69.399,22.563,200.63,13.051,15,155
AP069,3,4,city,4,picture,17.985,80.03,33.237,240.634,13.69,21,163
AP069,3,4,city,5,picture,23.487,72.437,25.816,218.535,13.946,10,168
AP069,3,4,city,6,picture,22.335,97.526,35.311,225.857,15.453,29,183
AP255,3,5,rural,1,picture,18.674,52.886,27.23,218.848,18.853,0,208
AP255,3,5,rural,2,picture,18.263,61.621,31.688,200.999,19.259,0,188
AP255,3,5,rural,3,picture,18.134,66.88,27.172,218.328,18.122,4,179
AP255,3,5,rural,4,picture,15.586,51.971,28.065,221.552,16.02,1,154
AP255,3,5,rural,5,picture,21.479,61.487,34.495,218.616,16.118,3,172
AP255,3,5,rural,6,picture,21.312,47.941,25.601,207.754,12.38,3,137
AP289,3,6,rural,1,picture,18.317,75.36,36.878,236.038,24.069,2,244
AP289,3,6,rural,2,picture,17.647,76.091,68.912,236.247,22.143,13,235
AP289,3,6,rural,3,picture,14.542,80.611,37.664,233.691,19.017,21,198
AP289,3,6,rural,4,picture,11.829,69.811,48.56,240.427,16.666,12,165
AP289,3,6,rural,5,picture,14.143,57.004,34.943,221.474,13.708,4,182
AP289,3,6,rural,6,picture,19.377,71.157,36.901,227.774,15.639,13,223
AP082,3,7,city,1,picture,16.559,55.317,30.366,229.607,13.861,6,161
AP082,3,7,city,2,picture,18.111,57.723,28.252,224.229,15.76,2,148
AP082,3,7,city,3,picture,18.091,64.648,27.924,222.632,15.288,2,159
AP082,3,7,city,4,picture,17.299,43.54,36.684,215.906,14.397,1,132
AP082,3,7,city,5,picture,18.147,53.245,47.642,224.916,17.406,1,159
AP082,3,7,city,6,picture,21.069,43.702,30.166,207.233,14.386,0,198
AP136,3,8,rural,1,picture,13.888,74.654,38.656,246.456,18.756,11,180
AP136,3,8,rural,2,picture,18.792,59.464,25.68,225.377,20.415,5,154
AP136,3,8,rural,3,picture,12.957,69.665,33.563,235.226,19.94,9,167
AP136,3,8,rural,4,picture,10.239,26.331,19.383,199.505,7.41,0,90
AP136,3,8,rural,5,picture,14.221,34.791,25.648,214.308,13.361,0,140
AP136,3,8,rural,6,picture,15.203,47.609,36.545,222.67,13.421,4,142
AP230,3,9,city,1,picture,17.159,60.176,24.805,213.909,19.557,0,214
AP230,3,9,city,2,picture,21.217,68.676,31.869,219.471,19.504,0,208
AP230,3,9,city,3,picture,19.052,89.248,32.506,230.39,18.645,7,197
AP230,3,9,city,4,picture,16.213,61.354,28.657,216.979,19.442,2,164
AP230,3,9,city,5,picture,10.233,52.71,23.925,208.589,18.884,1,156
AP230,3,9,city,6,picture,15.973,60.88,28.483,219.408,18.326,4,194
AP008,4,1,city,1,picture,17.179,53.612,42.307,224.006,23.699,0,248
AP008,4,1,city,2,picture,19.791,53.367,29.26,206.452,20.258,0,227
AP008,4,1,city,3,picture,16.721,64.311,30.481,218.355,20.004,0,177
AP008,4,1,city,4,picture,13.876,48.716,29.329,215.568,16.758,0,151
AP008,4,1,city,5,picture,15.29,47.36,25.007,208.431,17.71,0,157
AP008,4,1,city,6,picture,17.969,61.65,46.818,224.807,22.106,1,171
AP198,4,2,rural,1,picture,19.497,72.558,38.055,253.785,21.073,10,215
AP198,4,2,rural,2,picture,21.249,70.87,39.522,239.678,17.092,15,160
AP198,4,2,rural,3,picture,21.81,61.94,27.174,231.792,17.787,4,181
AP198,4,2,rural,4,picture,12.316,50.375,27.424,229.363,13.69,7,127
AP198,4,2,rural,5,picture,14.938,44.81,28.279,222.711,13.713,0,142
AP198,4,2,rural,6,picture,16.92,43.727,26.728,220.188,11.366,1,120
AP065,4,3,rural,1,picture,17.294,51.362,37.218,232.098,15.889,3,194
AP065,4,3,rural,2,picture,18.529,48.198,29.549,223.929,14.979,0,179
AP065,4,3,rural,3,picture,20.888,55.92,23.66,225.949,17.835,1,164
AP065,4,3,rural,4,picture,17.835,29.248,27.479,221.939,10.908,0,92
AP065,4,3,rural,5,picture,18.252,37.896,32.201,230.537,12.512,0,139
AP159,4,4,rural,1,picture,21.224,56.982,28.879,220.999,24.016,0,176
AP159,4,4,rural,2,picture,22.234,55.279,35.895,213.521,20.37,0,163
AP159,4,4,rural,3,picture,23.094,79.147,25.857,213.885,18.384,9,168
AP159,4,4,rural,4,picture,19.375,87.068,47.113,240.446,19.127,18,192
AP159,4,4,rural,5,picture,29.351,75.242,33.661,221.229,39.978,0,190
AP159,4,4,rural,6,picture,16.336,54.215,32.219,213.654,25.474,0,172
AP050,4,5,city,1,picture,17.355,37.15,23.799,204.844,12.244,0,208
AP050,4,5,city,2,picture,17.813,50.032,26.629,219.703,14.529,4,160
AP050,4,5,city,3,picture,19.279,47.262,45.286,209.605,14.094,0,153
AP050,4,5,city,4,picture,15.187,39.132,27.302,211.495,10.678,1,163
AP050,4,5,city,5,picture,20.452,44.964,31.858,210.273,14.686,0,189
AP050,4,5,city,6,picture,16.461,60.637,70.432,228.331,14.288,12,145
AP181,4,6,city,1,picture,17.05,64.488,24.024,220.924,18.842,11,225
AP181,4,6,city,2,picture,22.124,59.619,22.798,199.539,17.11,6,190
AP181,4,6,city,3,picture,15.592,75.137,29.451,220.56,19.413,18,211
AP181,4,6,city,4,picture,14.888,58.084,30.557,224.323,15.305,8,169
AP181,4,6,city,5,picture,18.753,61.637,25.774,216.861,13.586,7,188
AP181,4,6,city,6,picture,15.952,68.347,26.682,217.357,15.079,15,166
AP217,4,7,city,1,picture,18.528,69.43,35.165,241.905,16.89,13,172
AP217,4,7,city,2,picture,23.099,52.457,24.934,220.936,13.379,4,175
AP217,4,7,city,3,picture,23.114,49.659,23.144,211.608,11.857,5,139
AP217,4,7,city,4,picture,14.43,36.161,35.451,210.658,8.791,0,107
AP217,4,7,city,5,picture,19.21,60.298,54.925,231.03,13.355,7,192
AP170,4,8,city,1,picture,15.784,51.433,32.416,239.116,19.215,0,194
AP170,4,8,city,2,picture,15.243,31.025,20.861,207.323,10.69,0,136
AP170,4,8,city,3,picture,18.828,32.84,20.791,199.433,13.04,0,141
AP061,4,9,rural,1,picture,17.266,56.878,28.223,226.711,23.942,0,238
AP061,4,9,rural,2,picture,17.858,63.751,28.26,218.814,22.536,0,154
AP061,4,9,rural,3,picture,17.708,61.094,26.112,214.487,22.985,0,201
AP061,4,9,rural,4,picture,12.951,40.041,24.402,211.085,15.936,0,168
AP061,4,9,rural,5,picture,17.521,56.796,27.292,217.328,19.308,0,157
AP061,4,9,rural,6,picture,11.584,60.92,28.646,225.362,18.534,0,198
AP111,5,1,city,1,picture,15.894,63.082,29.215,224.518,19.728,4,248
AP111,5,1,city,2,picture,19.056,55.76,37.552,205.541,15.71,0,155
AP111,5,1,city,3,picture,15.805,66.752,25.121,218.059,19.328,0,159
AP111,5,1,city,4,picture,14.662,66.679,30.217,224.229,14.827,12,143
AP111,5,1,city,5,picture,13.833,55.613,72.392,203.161,18.085,0,134
AP111,5,1,city,6,picture,15.502,72.949,38.064,226.212,18.312,11,245
AP256,5,2,rural,1,picture,17.011,50.583,47.809,244.1,23.562,0,201
AP256,5,2,rural,2,picture,18.933,61.27,44.806,225.713,19.195,1,198
AP256,5,2,rural,3,picture,21.309,57.973,67.941,217.553,19.212,0,179
AP256,5,2,rural,4,picture,16.711,47.37,28.04,214.578,14.714,1,154
AP256,5,2,rural,5,picture,20.017,108.197,67.169,244.266,19.162,34,197
AP256,5,2,rural,6,picture,21.532,67.68,56.843,216.045,17.933,0,160
AP182,5,3,city,1,picture,14.7,58.941,32.402,235.715,20.212,5,219
AP182,5,3,city,2,picture,23.416,53.172,28.973,212.013,15.093,0,190
AP182,5,3,city,3,picture,19.696,48.514,25.187,214.744,13.565,0,169
AP182,5,3,city,4,picture,14.802,39.135,23.9,216.715,8.936,2,111
AP182,5,3,city,5,picture,21.181,33.559,29.217,208.522,10.136,0,97
AP182,5,3,city,6,picture,14.141,37.762,19.346,208.13,10.958,1,148
AP039,5,4,rural,1,picture,14.873,60.263,28.207,222.961,18.101,7,171
AP039,5,4,rural,2,picture,15.603,46.448,20.314,201.275,14.175,0,191
AP039,5,4,rural,3,picture,19.826,55.95,27.221,211.327,16.864,0,184
AP039,5,4,rural,4,picture,14.695,53.852,28.547,222.127,16.226,0,149
AP039,5,4,rural,5,picture,17.76,51.855,26.801,224.136,15.563,1,190
AP039,5,4,rural,6,picture,17.215,53.93,28.019,212.212,17.186,2,169
AP160,5,5,rural,1,picture,17.876,47.689,25.921,214.697,18.836,0,189
AP160,5,5,rural,2,picture,19.79,51.421,35.03,211.244,18.276,0,176
AP160,5,5,rural,3,picture,19.237,63.411,34.357,230.605,19.688,4,208
AP160,5,5,rural,4,picture,13.923,55.635,42.62,232.916,20.247,1,158
AP160,5,5,rural,5,picture,15.486,56.051,65.414,225.657,20.025,1,150
AP160,5,5,rural,6,picture,16.413,69.157,54.233,237.162,20.827,9,144
AP218,5,6,city,1,picture,17.345,70.189,27.219,220.286,15.751,14,251
AP218,5,6,city,2,picture,12.844,61.888,23.063,208.844,16.227,8,185
AP218,5,6,city,3,picture,18.6,85.133,31.753,230.061,17.017,18,212
AP218,5,6,city,4,picture,14.601,48.411,26.283,212.156,14.849,0,146
AP218,5,6,city,5,picture,19.521,59.185,26.087,218.008,15.802,4,157
AP218,5,6,city,6,picture,20.547,57.74,22.642,204.97,13.504,5,165
AP049,5,7,city,1,picture,13.075,68.666,34.341,241.666,17.634,16,187
AP049,5,7,city,2,picture,17.815,38.881,21.39,204.161,12.924,0,162
AP049,5,7,city,3,picture,16.347,51.687,26.675,224.849,15.741,4,177
AP049,5,7,city,4,picture,15.97,44.139,26.943,229.024,10.636,2,144
AP049,5,7,city,5,picture,17.097,50.593,30.889,233.814,11.479,5,153
AP007,5,8,city,1,picture,12.711,76.612,32.531,238.54,15.605,17,182
AP007,5,8,city,2,picture,17.365,38.274,44.473,213.473,15.289,0,209
AP007,5,8,city,3,picture,20.208,54.33,25.98,225.131,16.767,1,146
AP007,5,8,city,4,picture,12.403,39.389,24.112,222.337,10.488,6,129
AP007,5,8,city,5,picture,19.56,47.509,25.671,224.844,15.688,2,163
AP199,5,9,rural,1,picture,16.62,65.206,31.689,231.445,27.635,0,237
AP199,5,9,rural,2,picture,19.446,55.971,29.947,223.14,26.899,0,206
AP199,5,9,rural,3,picture,15.624,56.67,30.053,226.145,28.336,0,192
AP199,5,9,rural,4,picture,15.307,42.987,33.153,222.196,21.27,0,203
AP199,5,9,rural,5,picture,15.835,50.377,31.131,225.771,20.875,0,160
AP199,5,9,rural,6,picture,15.885,47.377,29.24,221.077,22.24,0,177
AP020,6,1,city,1,picture,16.723,53.407,25.523,219.396,21.965,0,211
AP020,6,1,city,2,picture,17.111,48.217,36.616,204.201,18.698,0,169
AP020,6,1,city,3,picture,22.085,71.015,36.844,227.132,23.209,0,200
AP020,6,1,city,4,picture,14.214,45.199,30.941,213.516,22.803,0,162
AP020,6,1,city,5,picture,16.132,41.023,36.022,219.222,17.766,0,125
AP020,6,1,city,6,picture,21.954,58.587,29.628,223.799,20.649,3,183
AP125,6,2,city,1,picture,16.954,54.395,37.602,232.81,12.826,4,126
AP125,6,2,city,2,picture,19.118,72.871,29.848,225.79,24.846,0,249
AP125,6,2,city,3,picture,21.868,82.82,31.393,223.009,20.298,11,179
AP125,6,2,city,4,picture,18.521,67.036,26.139,221.92,13.723,11,159
AP125,6,2,city,5,picture,21.46,79.964,28.199,225.274,15.64,18,180
AP125,6,2,city,6,picture,24.394,84.36,30.874,234.166,18.253,18,191
AP277,6,3,rural,1,picture,18.458,58.175,28.35,231.252,16.564,6,166
AP277,6,3,rural,2,picture,22.448,55.282,24.698,227.45,13.818,1,194
AP277,6,3,rural,3,picture,26,44.574,19.818,204.378,10.717,2,125
AP277,6,3,rural,4,picture,17.172,52.004,26.004,229.057,12.57,8,165
AP277,6,3,rural,5,picture,24.331,80.094,33.025,241.614,16.333,11,184
AP277,6,3,rural,6,picture,31.58,72.768,28.042,230.998,16.729,10,159
AP034,6,4,city,1,picture,19.079,65.733,25.658,214.085,21.467,4,251
AP034,6,4,city,2,picture,12.952,67.443,24.938,217.662,17.083,8,231
AP034,6,4,city,3,picture,21.728,61.377,22.6,205.627,18.269,0,168
AP034,6,4,city,4,picture,23.266,64.736,26.989,212.505,20.867,7,198
AP034,6,4,city,5,picture,24.986,54.797,31.37,228.319,17.419,4,135
AP034,6,4,city,6,picture,31.573,93.548,32.49,224.065,24.699,16,198
AP169,6,5,city,1,picture,21.425,55.282,27.96,216.352,13.299,8,182
AP169,6,5,city,2,picture,16.452,54.276,31.312,204.358,13.328,5,200
AP169,6,5,city,3,picture,22.563,64.093,28.856,209.253,15.349,8,169
AP169,6,5,city,4,picture,16.714,42.117,33.503,226.891,11.965,4,162
AP169,6,5,city,5,picture,20.927,43.415,26.604,221.356,12.462,0,159
AP066,6,6,rural,1,picture,19.722,74.238,36.468,236.954,24.23,5,214
AP066,6,6,rural,2,picture,17.583,70.849,41.487,218.803,22.848,11,205
AP066,6,6,rural,3,picture,19.661,100.131,50.943,235.982,24.806,25,224
AP066,6,6,rural,4,picture,15.141,47.548,29.651,214.409,20.506,3,138
AP066,6,6,rural,5,picture,16.261,67.205,48.851,243.942,25.791,6,220
AP066,6,6,rural,6,picture,19.032,57.703,34.279,219.495,22.277,1,169
AP137,6,7,rural,1,picture,17.929,55.437,27.736,229.622,12.905,6,159
AP137,6,7,rural,2,picture,13.642,55.732,29.389,226.1,12.766,9,161
AP137,6,7,rural,3,picture,23.209,44.733,26.545,218.548,12.576,0,141
AP137,6,7,rural,4,picture,14.472,25.131,24.4,210.874,9.727,0,110
AP137,6,7,rural,5,picture,18.407,42.974,31.038,232.623,15.79,0,154
AP137,6,7,rural,6,picture,24.99,31.887,22.26,210.983,12.666,0,126
AP104,6,8,rural,1,picture,18.719,77.289,36.722,243.787,20.304,5,237
AP104,6,8,rural,2,picture,22.1,60.066,26.466,226.199,15.868,1,151
AP104,6,8,rural,3,picture,21.958,56.288,23.513,219.007,18.716,0,167
AP104,6,8,rural,4,picture,17.177,51.942,24.635,224.508,13.191,1,166
AP104,6,8,rural,5,picture,21.486,89.526,34.524,240.888,15.744,9,182
AP104,6,8,rural,6,picture,24.369,61.833,23.855,218.806,13.85,0,150
AP243,6,9,rural,1,picture,16.841,52.775,22.884,208.559,18.778,4,174
AP243,6,9,rural,2,picture,15.819,54.321,19.327,186.164,16.134,0,173
AP243,6,9,rural,3,picture,18.475,85.453,35.175,229.693,18.432,20,200
AP243,6,9,rural,4,picture,11.895,32.797,19.683,192.956,13.391,0,137
AP243,6,9,rural,5,picture,16.794,39.537,35.368,220.906,16.847,0,128
AP243,6,9,rural,6,picture,17.731,41.579,22.623,205.307,14.882,0,153
AP105,7,1,rural,1,picture,18.36,61.694,23.608,208.139,21.162,0,251
AP105,7,1,rural,2,picture,23.21,44.749,43.651,202.192,12.305,0,147
AP105,7,1,rural,3,picture,22.06,48.77,24.414,201.626,16.216,1,157
AP105,7,1,rural,4,picture,13.008,28.749,26.94,208.95,15.13,0,149
AP105,7,1,rural,5,picture,21.615,52.219,40.275,220.171,17.062,0,174
AP105,7,1,rural,6,picture,21.872,36.755,30.152,195.665,14.209,0,147
AP127,7,2,city,1,picture,15.307,32.919,24.723,214.558,11.335,0,178
AP127,7,2,city,2,picture,16.711,50.106,27.795,230.841,15.778,4,199
AP127,7,2,city,3,picture,16.998,43.72,25.607,224.508,14.43,2,174
AP127,7,2,city,4,picture,14.879,34.445,24.852,222.399,13.128,0,143
AP127,7,2,city,5,picture,14.404,52.94,31.049,236.289,16.584,7,156
AP127,7,2,city,6,picture,17.663,40.444,27.748,230.297,15.182,0,141
AP278,7,3,rural,1,picture,14.374,47.545,30.575,231.51,16.301,0,155
AP278,7,3,rural,2,picture,19.96,41.296,24.412,222.313,13.802,0,159
AP278,7,3,rural,3,picture,20.13,43.628,21.717,218.343,13.515,2,134
AP278,7,3,rural,4,picture,15.584,36.956,33.356,219.017,13.066,0,132
AP278,7,3,rural,5,picture,16.944,52.356,40.106,233.661,13.003,2,139
AP278,7,3,rural,6,picture,18.576,44.091,31.262,224.221,11.982,0,161
AP040,7,4,rural,1,picture,14.796,59.455,37.326,227.115,20.544,9,225
AP040,7,4,rural,2,picture,21.022,53.403,29.391,213.773,15.897,4,159
AP040,7,4,rural,3,picture,21.107,59.828,28.34,215.168,15.645,10,159
AP040,7,4,rural,4,picture,16.521,41.045,27.883,206.16,15.21,0,140
AP040,7,4,rural,5,picture,19.809,60.809,35.258,225.412,15.889,4,200
AP040,7,4,rural,6,picture,23.319,52.592,24.894,199.54,16.144,2,167
AP063,7,5,rural,1,picture,15.169,51.763,27.905,211.942,17.856,0,188
AP063,7,5,rural,2,picture,16.409,60.115,41.328,220.681,18.427,3,204
AP063,7,5,rural,3,picture,15.114,64.015,45.032,216.671,18.507,4,182
AP063,7,5,rural,4,picture,13.584,54.843,32.526,230.862,18.349,7,151
AP063,7,5,rural,5,picture,14.846,55.12,32.077,217.81,18.156,0,167
AP063,7,5,rural,6,picture,19.4,46.838,29.942,202.958,14.764,0,130
AP035,7,6,city,1,picture,18.223,72.312,87.526,229.126,20.129,0,241
AP035,7,6,city,2,picture,19.025,79.045,35.947,226.293,18.555,15,158
AP035,7,6,city,3,picture,15.515,60.78,25.539,205.341,15.391,10,149
AP035,7,6,city,4,picture,15.086,61.034,85.282,226.121,18.72,7,203
AP035,7,6,city,5,picture,20.553,64.776,31.184,225.293,15.496,6,196
AP035,7,6,city,6,picture,23.954,69.418,36.577,219.124,16.888,8,162
AP232,7,7,city,1,picture,16.624,48.037,31.821,222.643,14.234,6,155
AP232,7,7,city,2,picture,20.659,82.169,33.553,236.383,13.533,12,163
AP232,7,7,city,3,picture,27.699,61.273,43.279,210.985,13.115,7,139
AP232,7,7,city,4,picture,21.145,49.213,33.188,216.219,11.529,4,125
AP232,7,7,city,5,picture,17.489,68.401,33.149,237.351,12.985,14,138
AP232,7,7,city,6,picture,21.266,47.852,28.683,216.376,10.949,5,178
AP138,7,8,rural,1,picture,19.036,47.482,77.998,235.46,16.168,0,171
AP138,7,8,rural,2,picture,18.567,64.447,30.452,232.545,20.089,3,220
AP138,7,8,rural,3,picture,19.224,42.372,22.623,192.228,13.106,0,165
AP138,7,8,rural,4,picture,13.121,54.681,27.633,217.226,16.698,0,187
