SpiderID,Site,Collection,Attacked_field,Attack_time_field,mass_mg,Eggs,Treatment,Cond_Date,Attacked_1,Cond_Attack_1,Cond_Attack_2,Cond_Attack_3,Notes,Initials,Test_Date,Eggs2,Test_Attack_1,Test_Attack_2,Test_Attack_3,NumAttacks,Attacked_Test,Avg_Test,Notes2,Initials2
30,Urban,9/24/23,Y,7.34,114,N,Positive,10/3/23,Y,3.5,2.03,6.72,Very observant,HT,10/5/23,N,3.41,1.84,0.47,3,Y,1.91,,HC
36,Urban,9/24/23,Y,2.47,89,N,Positive,10/3/23,Y,1.63,0.66,1.03,Moves craxy/differently; Catches cricket like a football,HT,10/5/23,N,0.5,0.34,0.31,3,Y,0.38,,KRA
49,Urban,9/24/23,Y,5.13,99,N,Positive,10/3/23,Y,1.62,1.65,0.41,Going in circles at the floor,HT,10/5/23,N,7.31,2.94,1.6,3,Y,3.95,,HC
31,Urban,9/24/23,Y,9.91,221,Y,Negative,10/3/23,Y,2.94,0.9,0.7,,MJ,10/5/23,Y,0.95,2.68,1.49,3,Y,1.71,,RD
32,Urban,9/24/23,Y,1.25,61,Y,Negative,10/3/23,Y,7.2,0.6,0.4,,MJ,10/5/23,Y,2.71,1.19,1.38,3,Y,1.76,,RD
38,Urban,9/24/23,Y,8.28,315,N,Negative,10/3/23,Y,1.2,1.7,0.94,,MJ,10/5/23,Y,1.46,6.28,2.06,3,Y,3.27,,RD
54,Urban,9/24/23,Y,0.91,201,Y,Negative,10/3/23,Y,5.5,4.2,2.6,,MJ,10/5/23,Y,1.69,8.21,7.68,3,Y,5.86,,MJ
46,Urban,9/24/23,Y,10.22,191,Y,Neutral,10/3/23,Y,3.68,0.53,1.43,,HS,10/5/23,Y,1.4,0.28,0.62,3,Y,0.77,,HS
47,Urban,9/24/23,Y,4,115,Y,Neutral,10/3/23,Y,0.5,0.88,0.2,doesn't sense the cricket when fed after,HS,10/5/23,Y,4.1,3.6,1.84,3,Y,3.18,,HC
51,Urban,9/24/23,Y,20.31,176,Y,Neutral,10/3/23,Y,1.5,1.66,0.25,,HS,10/5/23,Y,3.21,0.31,1.37,3,Y,1.63,,HS
52,Urban,9/24/23,Y,8.44,326,Y,Neutral,10/3/23,Y,0.79,0.46,0.25,,HS,10/5/23,Y,4.15,0.19,0.28,3,Y,1.54,,HS
55,Urban,9/24/23,Y,0.28,164,Y,Neutral,10/3/23,Y,0.5,0.19,0.44,Missing two legs on one side,HS,10/5/23,Y,5.96,2.56,7.72,3,Y,5.41,,HC
29,Urban,9/24/23,N,30,51,Y,Positive,10/3/23,Y,1.34,9.06,9.65,,HT,10/5/23,Y,0.22,2.63,0.41,3,Y,1.09,,HS
33,Urban,9/24/23,Y,0.78,75,Y,Positive,10/3/23,Y,1.41,1.47,3.59,Keeps coming out without noise present,HT,10/5/23,Y,1.23,0.38,3.22,3,Y,1.61,,KRA
40,Urban,9/24/23,Y,7.53,73,Y,Positive,10/3/23,Y,1.37,2.34,1,,HT,10/5/23,Y,0.38,1.09,5.41,3,Y,2.29,,KRA
41,Urban,9/24/23,Y,1.07,108,N,Positive,10/3/23,Y,3.56,2.29,8.32,Not hungry?,HT,10/5/23,Y,3.75,4.65,7.47,3,Y,5.29,,KRA
44,Urban,9/24/23,Y,0.63,93,Y,Positive,10/3/23,Y,8.22,0.88,1.28,Kept leaving enclosure,HT,10/5/23,Y,0.2,0.35,0.18,3,Y,0.24,,HS
